cell_name,Gender,cell_type,general_location,Hemisphere
ADAL,GS,interneuron,head,left
ADEL,GS,sensory,head,left
ADER,GS,sensory,head,right
ADFL,GS,sensory,head,left
ADFR,GS,sensory,head,right
ADLL,GS,sensory,head,left
ADLR,GS,sensory,head,right
AFDL,GS,sensory,head,left
AFDR,GS,sensory,head,right
AIAL,GS,interneuron,head,left
AIAR,GS,interneuron,head,right
AIBL,GS,interneuron,head,left
AIBR,GS,interneuron,head,right
AIML,GS,interneuron,head,left
AIMR,GS,interneuron,head,right
AINL,GS,interneuron,head,left
AINR,GS,interneuron,head,right
AIYL,GS,interneuron,head,left
AIYR,GS,interneuron,head,right
AIZL,GS,interneuron,head,left
AIZR,GS,interneuron,head,right
ALA,GS,interneuron,head,midline
ALML,GS,sensory,mid-body,left
ALMR,GS,sensory,mid-body,right
ALNL,GS,sensory,tail,left
ALNR,GS,sensory,tail,right
AQR,GS,sensory,head,right
AS01,GS,motor,tail,right
AS02,GS,motor,tail,right
AS03,GS,motor,tail,right
AS04,GS,motor,tail,right
AS05,GS,motor,tail,right
AS06,GS,motor,tail,right
AS07,GS,motor,tail,right
AS08,GS,motor,tail,right
AS09,GS,motor,tail,right
AS10,GS,motor,tail,right
AS11,GS,motor,tail,right
ASEL,GS,sensory,head,left
ASER,GS,sensory,head,right
ASGL,GS,sensory,head,left
ASGR,GS,sensory,head,right
ASHL,GS,sensory,head,left
ASHR,GS,sensory,head,right
ASIL,GS,sensory,head,left
ASIR,GS,sensory,head,right
ASJL,GS,sensory,head,left
ASJR,GS,sensory,head,right
ASKL,GS,sensory,head,left
ASKR,GS,sensory,head,right
AUAL,GS,interneuron,head,left
AUAR,GS,interneuron,head,right
AVAL,GS,interneuron,head,left
AVAR,GS,interneuron,head,right
AVBL,GS,interneuron,head,left
AVBR,GS,interneuron,head,right
AVDL,GS,interneuron,head,left
AVDR,GS,interneuron,head,right
AVEL,GS,interneuron,head,left
AVER,GS,interneuron,head,right
AVFL,GS,interneuron,head,left
AVFR,GS,interneuron,head,right
AVG,GS,interneuron,head,midline
AVHL,GS,interneuron,head,left
AVHR,GS,interneuron,head,right
AVJL,GS,interneuron,head,right
AVJR,GS,interneuron,head,left
AVKL,GS,interneuron,head,left
AVKR,GS,interneuron,head,right
AVL,GS,interneuron,head,midline
AVM,GS,sensory,mid-body,right
AWAL,GS,sensory,head,left
AWAR,GS,sensory,head,right
AWBL,GS,sensory,head,left
AWBR,GS,sensory,head,right
AWCL,GS,sensory,head,left
AWCR,GS,sensory,head,right
BAGL,GS,sensory,head,left
BDUL,GS,interneuron,mid-body,left
BDUR,GS,interneuron,mid-body,right
CA02,MS,motor,tail,midline
CA03,MS,motor,tail,midline
CA04,MS,motor,tail,midline
CA05,MS,motor,tail,midline
CA06,MS,motor,tail,midline
CA07,MS,motor,tail,midline
CA08,MS,motor,tail,midline
CA09,MS,motor,tail,midline
CEMDL,MS,sensory,head,left
CEMDR,MS,sensory,head,right
CEMVL,MS,sensory,head,left
CEMVR,MS,sensory,head,right
CEPDL,GS,sensory,head,left
CEPDR,GS,sensory,head,right
CEPVL,GS,sensory,head,left
CEPVR,GS,sensory,head,right
CP01,MS,motor,tail,midline
CP02,MS,motor,tail,midline
CP03,MS,motor,tail,midline
CP04,MS,motor,tail,midline
CP05,MS,motor,tail,midline
CP06,MS,motor,tail,midline
CP07,MS,motor,tail,midline
CP08,MS,motor,tail,midline
CP09,MS,motor,tail,midline
DA01,GS,motor,tail,left
DA02,GS,motor,tail,midline
DA03,GS,motor,tail,left
DA04,GS,motor,tail,left
DA05,GS,motor,tail,left
DA06,GS,motor,tail,left
DA07,GS,motor,tail,left
DA08,GS,motor,tail,left
DA09,GS,motor,tail,midline
DB01,GS,motor,tail,right
DB02,GS,motor,tail,left
DB03,GS,motor,tail,right
DB04,GS,motor,tail,left
DB05,GS,motor,tail,left
DB06,GS,motor,tail,right
DB07,GS,motor,tail,right
DD01,GS,motor,tail,left
DD02,GS,motor,tail,right
DD03,GS,motor,tail,right
DD04,GS,motor,tail,right
DD05,GS,motor,tail,right
DD06,GS,motor,tail,right
DVA,GS,interneuron,tail,right
DVB,GS,motor,tail,midline
DVC,GS,interneuron,tail,midline
DVE,MS,interneuron,tail,midline
DVF,MS,interneuron,tail,midline
DX1,MS,interneuron,tail,midline
DX2,MS,interneuron,tail,midline
DX3,MS,interneuron,tail,midline
EF1,MS,interneuron,tail,midline
EF2,MS,interneuron,tail,midline
EF3,MS,interneuron,tail,midline
FLPL,GS,sensory,head,left
FLPR,GS,sensory,head,right
HOA,MS,sensory,tail,midline
HOB,MS,sensory,tail,midline
IL1DL,GS,sensory,head,left
IL1DR,GS,sensory,head,right
IL1L,GS,sensory,head,left
IL1R,GS,sensory,head,right
IL1VL,GS,sensory,head,left
IL1VR,GS,sensory,head,right
IL2DL,GS,sensory,head,left
IL2DR,GS,sensory,head,right
IL2L,GS,sensory,head,left
IL2R,GS,sensory,head,right
IL2VL,GS,sensory,head,left
IL2VR,GS,sensory,head,right
LUAL,GS,interneuron,tail,left
LUAR,GS,interneuron,tail,right
MCML,MS,interneuron,head,left
MCMR,MS,interneuron,head,right
OLLL,GS,sensory,head,left
OLLR,GS,sensory,head,right
OLQDL,GS,sensory,head,left
OLQDR,GS,sensory,head,right
OLQVL,GS,sensory,head,left
OLQVR,GS,sensory,head,right
PCAL,MS,sensory,tail,left
PCAR,MS,sensory,tail,right
PCBL,MS,sensory,tail,left
PCBR,MS,sensory,tail,right
PCCL,MS,sensory,tail,left
PCCR,MS,sensory,tail,right
PDA,GS,motor,tail,right
PDB,GS,motor,tail,right
PDC,MS,interneuron,tail,midline
PDEL,GS,sensory,mid-body,left
PDER,GS,sensory,mid-body,right
PGA,MS,interneuron,tail,midline
PHAL,GS,sensory,tail,left
PHAR,GS,sensory,tail,right
PHBL,GS,sensory,tail,left
PHBR,GS,sensory,tail,right
PHCL,GS,sensory,tail,left
PHCR,GS,sensory,tail,right
PHDL,MS,sensory,tail,left
PHDR,MS,sensory,tail,right
PLML,GS,sensory,tail,left
PLMR,GS,sensory,tail,right
PLNL,GS,sensory,tail,left
PLNR,GS,sensory,tail,right
PQR,GS,sensory,head,left
PVCL,GS,interneuron,tail,left
PVCR,GS,interneuron,tail,right
PVDL,GS,sensory,mid-body,left
PVDR,GS,sensory,mid-body,right
PVM,GS,sensory,mid-body,left
PVNL,GS,interneuron,tail,left
PVNR,GS,interneuron,tail,right
PVPL,GS,interneuron,tail,left
PVPR,GS,interneuron,tail,right
PVQL,GS,interneuron,tail,left
PVQR,GS,interneuron,tail,right
PVR,GS,interneuron,tail,right
PVT,GS,interneuron,tail,midline
PVV,MS,interneuron,tail,midline
PVWL,GS,interneuron,tail,left
PVWR,GS,interneuron,tail,right
PVX,MS,interneuron,tail,midline
PVY,MS,interneuron,tail,midline
PVZ,MS,interneuron,tail,midline
R1AL,MS,sensory,tail,left
R1AR,MS,sensory,tail,right
R1BL,MS,sensory,tail,left
R1BR,MS,sensory,tail,right
R2AL,MS,sensory,tail,left
R2AR,MS,sensory,tail,right
R2BL,MS,sensory,tail,left
R2BR,MS,sensory,tail,right
R3AL,MS,sensory,tail,left
R3AR,MS,sensory,tail,right
R3BL,MS,sensory,tail,left
R3BR,MS,sensory,tail,right
R4AL,MS,sensory,tail,left
R4AR,MS,sensory,tail,right
R4BL,MS,sensory,tail,left
R4BR,MS,sensory,tail,right
R5AL,MS,sensory,tail,left
R5AR,MS,sensory,tail,right
R5BL,MS,sensory,tail,left
R5BR,MS,sensory,tail,right
R6AL,MS,sensory,tail,left
R6AR,MS,sensory,tail,right
R6BL,MS,sensory,tail,left
R6BR,MS,sensory,tail,right
R7AL,MS,sensory,tail,left
R7AR,MS,sensory,tail,right
R7BL,MS,sensory,tail,left
R7BR,MS,sensory,tail,right
R8AL,MS,sensory,tail,left
R8AR,MS,sensory,tail,right
R8BL,MS,sensory,tail,left
R8BR,MS,sensory,tail,right
R9AL,MS,sensory,tail,left
R9AR,MS,sensory,tail,right
R9BL,MS,sensory,tail,left
R9BR,MS,sensory,tail,right
RIAL,GS,interneuron,head,left
RIAR,GS,interneuron,head,right
RIBL,GS,interneuron,head,left
RIBR,GS,interneuron,head,right
RICL,GS,interneuron,head,left
RICR,GS,interneuron,head,right
RID,GS,interneuron,head,midline
RIFL,GS,interneuron,head,left
RIFR,GS,interneuron,head,right
RIGL,GS,interneuron,head,left
RIGR,GS,interneuron,head,right
RIH,GS,interneuron,head,midline
RIML,GS,interneuron,head,left
RIMR,GS,interneuron,head,right
RIPL,GS,interneuron,head,left
RIPR,GS,interneuron,head,right
RIR,GS,interneuron,head,midline
RIS,GS,interneuron,head,midline
RIVL,GS,motor,head,left
RIVR,GS,motor,head,right
RMDDL,GS,motor,head,left
RMDDR,GS,motor,head,right
RMDL,GS,motor,head,left
RMDR,GS,motor,head,right
RMDVL,GS,motor,head,left
RMDVR,GS,motor,head,right
RMED,GS,motor,head,midline
RMEL,GS,motor,head,left
RMER,GS,motor,head,right
RMEV,GS,motor,head,midline
RMFL,GS,motor,head,left
RMFR,GS,motor,head,right
RMGL,GS,interneuron,head,left
RMGR,GS,interneuron,head,right
RMHL,GS,motor,head,left
RMHR,GS,motor,head,right
SAADL,GS,interneuron,head,right
SAADR,GS,interneuron,head,left
SAAVL,GS,interneuron,head,left
SAAVR,GS,interneuron,head,right
SABD,GS,interneuron,head,right
SABVL,GS,interneuron,head,left
SABVR,GS,interneuron,head,right
SDQL,GS,interneuron,mid-body,left
SDQR,GS,interneuron,mid-body,right
SIADL,GS,motor,head,left
SIADR,GS,motor,head,right
SIAVL,GS,motor,head,left
SIAVR,GS,motor,head,right
SIBDL,GS,motor,head,left
SIBDR,GS,motor,head,right
SIBVL,GS,motor,head,left
SIBVR,GS,motor,head,right
SMBDL,GS,motor,head,left
SMBDR,GS,motor,head,right
SMBVL,GS,motor,head,left
SMBVR,GS,motor,head,right
SMDDL,GS,motor,head,left
SMDDR,GS,motor,head,right
SMDVL,GS,motor,head,left
SMDVR,GS,motor,head,right
SPCL,MS,sensory,tail,left
SPCR,MS,sensory,tail,right
SPDL,MS,sensory,tail,left
SPDR,MS,sensory,tail,right
SPVL,MS,sensory,tail,left
SPVR,MS,sensory,tail,right
URADL,GS,motor,head,left
URADR,GS,motor,head,right
URAVL,GS,motor,head,left
URAVR,GS,motor,head,right
URBL,GS,interneuron,head,left
URBR,GS,interneuron,head,right
URXL,GS,sensory,head,left
URXR,GS,sensory,head,right
URYDR,GS,sensory,head,right
URYVL,GS,sensory,head,left
URYVR,GS,sensory,head,right
VA01,GS,motor,tail,midline
VA02,GS,motor,tail,midline
VA03,GS,motor,tail,midline
VA04,GS,motor,tail,midline
VA05,GS,motor,tail,midline
VA06,GS,motor,tail,midline
VA07,GS,motor,tail,midline
VA08,GS,motor,tail,midline
VA09,GS,motor,tail,midline
VA10,GS,motor,tail,midline
VA11,GS,motor,tail,midline
VA12,GS,motor,tail,midline
VB01,GS,motor,tail,midline
VB02,GS,motor,tail,midline
VB03,GS,motor,tail,midline
VB04,GS,motor,tail,midline
VB05,GS,motor,tail,midline
VB06,GS,motor,tail,midline
VB07,GS,motor,tail,midline
VB08,GS,motor,tail,midline
VB09,GS,motor,tail,midline
VB10,GS,motor,tail,midline
VB11,GS,motor,tail,midline
VD01,GS,motor,tail,right
VD02,GS,motor,tail,left
VD03,GS,motor,tail,right
VD04,GS,motor,tail,right
VD05,GS,motor,tail,right
VD06,GS,motor,tail,right
VD07,GS,motor,tail,right
VD08,GS,motor,tail,right
VD09,GS,motor,tail,right
VD10,GS,motor,tail,right
VD11,GS,motor,tail,right
VD12,GS,motor,tail,right
VD13,GS,motor,tail,right