,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
57,URB,Sensory neuron,GS,URBL,3,21,24,5,46,51,236.0,0.0074069424392693,65.9376671073409,0.0020694767154397,3.0015984015984,0.013563150627162,0.203296703296703,0.0262573390289354,0.416361416361416,URB,Sensory neuron,GS,6,19,25,9,40,49,146.0,0.0045822610005649,161.097528085768,0.0050561021933892,inf,0.0072947440521645,0.202702702702703,0.0136194320997762,0.368524774774775
58,URB,Sensory neuron,GS,URBR,4,16,20,6,41,47,2.5,7.84633732973448e-05,37.1972625122478,0.0011674490776551,2.99209956709957,0.0162617190825218,0.223404255319149,0.0289577464699216,0.41334219858156,URB,Sensory neuron,GS,3,12,15,8,24,32,874.0,0.0274307953047517,115.564722147258,0.0036270391735377,inf,0.0080931494858472,0.199029126213592,0.0146123675551537,0.360355987055016
59,URX,Sensory neuron,GS,URXL,15,18,33,38,71,109,614.5,0.0192862971564874,843.050212071198,0.0264594253992593,2.91068931068931,0.0159327165283647,0.188824662813102,0.0339204353585721,0.416726305165611,URX,Sensory neuron,GS,10,11,21,31,66,97,1176.33333333333,0.0369196325821773,238.16163108049,0.0074747859858292,inf,0.0125994652001994,0.174757281553398,0.0208264571938404,0.347370550161812
60,URX,Sensory neuron,GS,URXR,10,15,25,32,89,121,1148.0,0.0360303810181407,249.992621374853,0.0078461057490067,2.86709956709957,0.0168441617516924,0.15993265993266,0.0356620972234584,0.371097883597884,URX,Sensory neuron,GS,9,12,21,25,75,100,1053.5,0.0330644655075011,417.465626838578,0.0131023045269782,inf,0.0107651725047815,0.163414634146341,0.0170071739741334,0.284512195121951
61,URY,Sensory neuron,GS,URYDL,6,12,18,8,44,52,0.0,0.0,107.829780019087,0.0033842753128832,3.25235597735598,0.0153780808527833,0.16,0.0248666456258308,0.279015873015873,URY,Sensory neuron,GS,5,14,19,6,56,62,267.0,0.0083798882681564,421.315663322646,0.0132231392669213,inf,0.009621697383411,0.154761904761905,0.0134923401769358,0.225694444444444
62,URY,Sensory neuron,GS,URYDR,3,10,13,5,43,48,2.0,6.27706986378758e-05,32.3704527369881,0.0010159579667625,3.83880286380286,0.0199516749647632,0.181818181818182,0.0331690475979569,0.327922077922078,URY,Sensory neuron,GS,6,9,15,8,43,51,28.0,0.0008787897809302,285.821993597646,0.0089706231120973,inf,0.0112396961658038,0.16504854368932,0.015203805020562,0.243932038834951
63,URY,Sensory neuron,GS,URYVL,7,10,17,9,34,43,0.0,0.0,67.2153939536872,0.0021095786188465,3.20235597735598,0.0157355436796371,0.177777777777778,0.0239518963903724,0.275,URY,Sensory neuron,GS,8,12,20,12,54,66,14.0,0.0004393948904651,108.026449022436,0.0033904478382535,inf,0.0122358833350884,0.192513368983957,0.0185614773049712,0.326069518716578
64,URY,Sensory neuron,GS,URYVR,5,9,14,6,30,36,0.0,0.0,83.1261094618072,0.002608941982983,3.34679487179487,0.0173625541411814,0.161111111111111,0.0212281301711244,0.209722222222222,URY,Sensory neuron,GS,7,15,22,9,47,56,16.0,0.000502165589103,134.514370062471,0.0042217804928275,inf,0.0050489495858157,0.1,0.0080473618212511,0.167753623188406
65,ADA,Interneuron,GS,ADAL,19,13,32,27,42,69,333.833333333333,0.0104774757809721,1076.71896535402,0.0337932008459615,2.93376623376623,0.0113618194317855,0.163265306122449,0.0189555189982821,0.287638483965014,ADA,Interneuron,GS,14,14,28,25,54,79,300.0,0.0094156047956813,487.112800762432,0.0152882054096551,inf,0.0062586229668618,0.13262599469496,0.0110104395866835,0.260035366931919
66,ADA,Interneuron,GS,ADAR,10,19,29,17,46,63,309.833333333333,0.0097242273973176,645.993076321377,0.0202747183579617,3.5011655011655,0.0109269697615321,0.150872817955112,0.0206330006156616,0.315666191663698,ADA,Interneuron,GS,11,11,22,17,51,68,285.5,0.0089605172305567,130.154181210723,0.0040849344426189,inf,0.0061632041039396,0.128260869565217,0.0090902772886867,0.195471014492754
67,AIA,Interneuron,GS,AIAL,18,10,28,106,32,138,3035.83333333333,0.0952806896407424,856.958009915186,0.02689592649285,2.7,0.0275955137082098,0.243243243243243,0.0532237186526554,0.512950450450451,AIA,Interneuron,GS,20,9,29,113,37,150,3702.0,0.116188563178708,447.011239330684,0.0140296038958849,inf,0.0180785346227889,0.23375,0.0348952392356979,0.522041666666667
68,AIA,Interneuron,GS,AIAR,17,10,27,108,30,138,2775.66666666667,0.0871152679262654,540.915811474935,0.0169768316952776,2.58333333333333,0.025143931331196,0.21304347826087,0.0532597878354988,0.500434782608696,AIA,Interneuron,GS,18,10,28,123,43,166,3614.66666666667,0.113447576004854,651.688570174587,0.0204534734220886,inf,0.0171880945031847,0.207547169811321,0.0315092657777816,0.432434860736748
69,AIB,Interneuron,GS,AIBL,30,15,45,166,71,237,2661.0,0.0835164145376938,664.558511939173,0.0208574010400845,3.25757575757576,0.0162649195766733,0.127918781725888,0.0412865373760405,0.350883490452018,AIB,Interneuron,GS,29,20,49,161,73,234,1890.0,0.0593183102127927,1188.28430585767,0.0372947180295546,inf,0.0102270997784614,0.134730538922156,0.0266337165895485,0.393179966597417
70,AIB,Interneuron,GS,AIBR,33,21,54,150,74,224,2367.16666666667,0.0742943527294792,1171.30698179427,0.0367618787833239,3.12735597735598,0.0134124002076422,0.115789473684211,0.0396499949128662,0.381233918128655,AIB,Interneuron,GS,27,23,50,169,75,244,1470.66666666667,0.0461573870650513,938.098242667286,0.0294425410415946,inf,0.0111255777821036,0.148770491803279,0.029233637316955,0.419555523028884
71,AIN,Interneuron,GS,AINL,2,13,15,3,33,36,7.0,0.0002196974452325,80.1553569914788,0.0025157038789617,2.96428571428571,0.0147919305317318,0.1875,0.0294084374698764,0.373958333333333,AIN,Interneuron,GS,3,14,17,3,41,44,2.0,6.27706986378758e-05,124.385739729262,0.0039038898916973,inf,0.0096354765824626,0.17910447761194,0.01657323574019,0.32089552238806
72,AIN,Interneuron,GS,AINR,1,12,13,1,42,43,0.0,0.0,32.4476320126163,0.0010183802652883,2.96666666666667,0.01884834762325,0.16025641025641,0.0324303424039496,0.290598290598291,AIN,Interneuron,GS,6,12,18,9,33,42,67.6666666666667,0.0021237419705814,277.395658326265,0.0087061596361265,inf,0.0064606293103077,0.125827814569536,0.0122094605398594,0.252152317880795
73,AIY,Interneuron,GS,AIYL,13,5,18,61,22,83,480.5,0.0150806603477497,172.984060248065,0.0054291651574937,2.8,0.0291344541394838,0.246710526315789,0.0544148152021988,0.495888157894737,AIY,Interneuron,GS,11,15,26,61,33,94,666.0,0.0209026426464127,415.837789719328,0.0130512142903562,inf,0.0132661889706267,0.215625,0.0282510704059479,0.493385416666667
74,AIY,Interneuron,GS,AIYR,10,12,22,57,41,98,753.0,0.0236331680371603,300.556776891751,0.0094330794329217,2.75,0.0286868595765356,0.245575221238938,0.0471771711070737,0.459992625368731,AIY,Interneuron,GS,12,9,21,65,28,93,958.0,0.0300671646475425,211.507755928992,0.006638244803496,inf,0.0180259130579113,0.290243902439024,0.0325888300563721,0.550691056910569
75,AIZ,Interneuron,GS,AIZL,12,15,27,70,102,172,3428.5,0.107604670139979,453.035882413917,0.0142186894235741,2.7,0.0229230387374302,0.165229885057471,0.047534998797938,0.359425173326035,AIZ,Interneuron,GS,19,20,39,94,132,226,4029.5,0.12646726508066,903.891162218534,0.0283689398725295,inf,0.0127977631964295,0.16508152173913,0.0282980788648148,0.397780797101449
76,AIZ,Interneuron,GS,AIZR,16,16,32,78,97,175,2652.5,0.0832496390684828,830.490917994481,0.0260652475674622,2.75,0.0192203802555721,0.164300202839757,0.0437602591239342,0.387707669274606,AIZ,Interneuron,GS,14,17,31,73,111,184,3660.0,0.114870378507313,544.768000759691,0.0170977340016223,inf,0.0144207233757566,0.195652173913043,0.0324167287686483,0.453242753623188
77,AVA,Interneuron,GS,AVAL,26,0,26,135,0,135,0.0,0.0,0.0,0.0,inf,0.0175963742486677,0.175384615384615,0.0526588132420293,0.491384615384615,AVA,Interneuron,GS,35,0,35,157,0,157,0.0,0.0,0.0,0.0,inf,0.0063492014607294,0.115126050420168,0.0206835724228915,0.368887555022009
78,AVA,Interneuron,GS,AVAR,27,0,27,139,0,139,0.0,0.0,0.0,0.0,inf,0.0126815762482395,0.148148148148148,0.0394110680063379,0.434544159544159,AVA,Interneuron,GS,32,0,32,152,0,152,0.0,0.0,0.0,0.0,inf,0.0070398627440442,0.122983870967742,0.0220656469786172,0.383611751152074
79,AVB,Interneuron,GS,AVBL,40,0,40,138,0,138,0.0,0.0,0.0,0.0,inf,0.0090775054762072,0.107692307692308,0.0297070900525201,0.37583485958486,AVB,Interneuron,GS,29,0,29,139,0,139,0.0,0.0,0.0,0.0,inf,0.0079431746648361,0.112068965517241,0.0220388068248805,0.345047501759324
80,AVB,Interneuron,GS,AVBR,38,0,38,159,0,159,0.0,0.0,0.0,0.0,inf,0.0114125407245813,0.114509246088193,0.0355657073157792,0.385988620199146,AVB,Interneuron,GS,28,0,28,139,0,139,0.0,0.0,0.0,0.0,inf,0.0078802057578006,0.126984126984127,0.0205856863420557,0.342564247921391
81,AVD,Interneuron,GS,AVDL,17,0,17,35,0,35,0.0,0.0,0.0,0.0,inf,0.005987957226291,0.0772058823529412,0.0066904601701861,0.0863970588235294,AVD,Interneuron,GS,16,0,16,44,0,44,0.0,0.0,0.0,0.0,inf,0.0057611630297295,0.1375,0.0099199902523019,0.253333333333333
82,AVD,Interneuron,GS,AVDR,19,0,19,47,0,47,0.0,0.0,0.0,0.0,inf,0.0092179557897653,0.12280701754386,0.0153658156313518,0.215497076023392,AVD,Interneuron,GS,18,0,18,51,0,51,0.0,0.0,0.0,0.0,inf,0.0058387030311983,0.124183006535948,0.0100452642378098,0.230555555555556
83,AVE,Interneuron,GS,AVEL,32,0,32,158,0,158,0.0,0.0,0.0,0.0,inf,0.0140924007190093,0.109879032258065,0.0440632149185565,0.372347830261137,AVE,Interneuron,GS,39,0,39,173,0,173,0.0,0.0,0.0,0.0,inf,0.008271150026823,0.125506072874494,0.02548598157312,0.408940620782726
84,AVE,Interneuron,GS,AVER,35,0,35,162,0,162,0.0,0.0,0.0,0.0,inf,0.0148204803981321,0.121008403361345,0.043503748990175,0.383025210084034,AVE,Interneuron,GS,33,0,33,156,0,156,0.0,0.0,0.0,0.0,inf,0.0095710393526237,0.125,0.0265719366003911,0.381748286435786
85,AVJ,Modulatory neuron,GS,AVJL,19,6,25,38,13,51,121.0,0.0037976272675914,317.813921731856,0.0099747009519759,4.26709956709957,0.0125635300490859,0.17003367003367,0.0218079809562259,0.334315375982043,AVJ,Modulatory neuron,GS,17,7,24,32,9,41,205.5,0.0064496892850417,591.708643962385,0.0185709824857945,inf,0.0058474301379096,0.170955882352941,0.0091787534702988,0.287837009803922
86,AVJ,Modulatory neuron,GS,AVJR,13,7,20,24,13,37,211.166666666667,0.006627539597849,417.681075831211,0.0131090664688723,4.07424242424242,0.0108283091534495,0.156914893617021,0.0162444874068066,0.251310790273556,AVJ,Modulatory neuron,GS,15,10,25,42,13,55,303.666666666667,0.0095306844098508,745.037931286286,0.023383275729279,inf,0.0069335644553639,0.15993265993266,0.0102636597949885,0.252328843995511
87,BDU,Interneuron,GS,BDUL,8,13,21,20,20,40,209.333333333333,0.0065699997907643,336.892935593573,0.0105735024666867,3.0,0.0086506292322459,0.159420289855072,0.0173708727418,0.319283413848631,BDU,Interneuron,GS,6,14,20,21,20,41,336.5,0.0105611700458226,339.705596891042,0.0106617788240237,inf,0.0066024787544309,0.184491978609626,0.0109920597577862,0.307932263814617
88,BDU,Interneuron,GS,BDUR,5,10,15,18,27,45,743.0,0.0233193145439709,415.989962318582,0.0130559902805405,3.1004329004329,0.0201328381644548,0.232673267326733,0.0345900209764843,0.406353135313531,BDU,Interneuron,GS,8,8,16,25,23,48,823.666666666667,0.0258510660556985,130.09264225701,0.0040830030210598,inf,0.01297394975568,0.292035398230089,0.0248962608345032,0.587315634218289
89,PVC,Interneuron,GS,PVCL,10,13,23,27,40,67,83.0,0.0026049839934718,180.164136899748,0.0056545143713435,3.93376623376623,0.0105761117963702,0.125,0.0154679670441786,0.191898148148148,PVC,Interneuron,GS,13,19,32,43,43,86,185.333333333333,0.0058167514071098,316.336299013535,0.0099283252467997,inf,0.0070924050136286,0.158536585365854,0.0122907217229488,0.298715156794425
90,PVC,Interneuron,GS,PVCR,11,12,23,35,47,82,134.166666666667,0.0042108677002908,183.543759652013,0.0057605850119896,4.07424242424242,0.0122783164038877,0.119047619047619,0.0180260304880501,0.192247732426304,PVC,Interneuron,GS,9,15,24,27,51,78,178.5,0.0056022848534304,169.600015592808,0.0053229557338775,inf,0.0068820678726389,0.144160583941606,0.0097023256223004,0.217852798053528
91,PVP,Interneuron,GS,PVPL,7,13,20,12,34,46,317.0,0.0099491557341033,244.9166291222,0.007686793959017,3.0,0.0153247198775157,0.234042553191489,0.0258781835664756,0.412012411347518,PVP,Interneuron,GS,5,15,20,13,36,49,41.3333333333333,0.0012972611051827,152.336266109421,0.0047811269257868,inf,0.0112951360153831,0.241935483870968,0.016889686071235,0.386872759856631
92,PVP,Interneuron,GS,PVPR,7,12,19,11,28,39,24.3333333333333,0.0007637101667608,128.696403489732,0.0040391815796162,3.58257575757576,0.0142330680896429,0.205882352941176,0.0240077717487373,0.374362745098039,PVP,Interneuron,GS,4,14,18,8,32,40,67.0,0.0021028184043688,85.656645769745,0.0026883637489719,inf,0.0108666564310542,0.23489932885906,0.0164228707067788,0.374720357941835
93,PVR,Interneuron,GS,PVR,7,10,17,8,55,63,130.25,0.0040879417487916,406.542686497372,0.0127594842287795,4.32424242424242,0.0073415486785473,0.075187969924812,0.008260472967966,0.0858395989974937,PVR,Interneuron,GS,6,9,15,7,54,61,51.0,0.0016006528152658,397.596109585074,0.0124786927871783,inf,0.0043026020066078,0.0721153846153846,0.0046798275911611,0.0793269230769231
94,PVT,Interneuron,GS,PVT,3,16,19,3,67,70,87.0,0.0027305253907476,256.837821514776,0.0080609447465562,2.91068931068931,0.0218666022151794,0.196428571428571,0.0341032873128478,0.309771825396825,PVT,Interneuron,GS,5,15,20,5,74,79,319.0,0.0100119264327412,412.725157283873,0.012953523234068,inf,0.0135817571031707,0.184491978609626,0.0195537440667592,0.286319073083779
95,RIA,Interneuron,GS,RIAL,32,21,53,196,227,423,2507.0,0.0786830707425774,1130.06987108233,0.0354676376587259,3.54857729989309,0.0269573935758295,0.129020467836257,0.07098707492134,0.388318162303908,RIA,Interneuron,GS,26,21,47,235,277,512,4322.0,0.13564747975645,782.416786326645,0.0245564241518626,inf,0.0259426053977343,0.15406162464986,0.0577920229258247,0.41447356720466
96,RIA,Interneuron,GS,RIAR,27,22,49,212,243,455,2559.5,0.0803308015818216,1199.58539926808,0.0376494067939262,3.57927905427905,0.0301046813792311,0.121575342465753,0.0746601610141968,0.33574069338196,RIA,Interneuron,GS,28,21,49,238,317,555,3592.0,0.112736174753625,1134.11793229762,0.0355946874740324,inf,0.0237958231583123,0.133676092544987,0.0504230176192959,0.342052270779777
97,RIB,Interneuron,GS,RIBL,17,19,36,100,48,148,3958.83333333333,0.124249367062122,813.406755100579,0.0255290551472155,3.00235597735598,0.0170166192402589,0.158064516129032,0.039018295174203,0.384621735791091,RIB,Interneuron,GS,19,20,39,126,56,182,2070.0,0.0649676730902015,737.027561276118,0.0231318674683359,inf,0.0151872405983176,0.213013698630137,0.0328023006787961,0.480034246575342
98,RIB,Interneuron,GS,RIBR,17,15,32,90,38,128,1397.0,0.0438453329985563,605.612476787124,0.0190073591358711,3.09679487179487,0.0168448708289757,0.147540983606557,0.0337025936781855,0.33041081186573,RIB,Interneuron,GS,19,19,38,116,48,164,1038.5,0.032593685267717,1003.92714170219,0.0315086040330861,inf,0.0114051258915402,0.174820143884892,0.0258874404304529,0.428433538883179
99,RIF,Interneuron,GS,RIFL,6,15,21,9,48,57,329.666666666667,0.0103467034921432,118.225960976533,0.0037105630838156,2.5,0.0134743863510626,0.198067632850242,0.0230624141530679,0.340177133655395,RIF,Interneuron,GS,9,14,23,12,37,49,272.0,0.0085368150147511,347.584436619331,0.0109090589611239,inf,0.0066836806730406,0.168,0.0123710331862483,0.33902380952381
100,RIF,Interneuron,GS,RIFR,10,17,27,17,36,53,331.083333333333,0.010391166070345,1289.28125263327,0.040464542484253,2.95757575757576,0.0124159368430276,0.192753623188406,0.0220419890602546,0.367584541062802,RIF,Interneuron,GS,9,10,19,15,38,53,581.833333333333,0.0182610424120687,267.988056858357,0.0084108987778029,inf,0.0073405288461175,0.188622754491018,0.0124080516880896,0.308832335329341
101,RIG,Interneuron,GS,RIGL,8,22,30,46,71,117,2969.66666666667,0.0932040256941393,502.586746464558,0.0157738606008586,2.71068931068931,0.0164428204231103,0.149305555555556,0.0344515527755487,0.328644455467372,RIG,Interneuron,GS,16,20,36,61,70,131,2269.0,0.0712133576046701,694.290709253181,0.0217905564388042,inf,0.0114149847498831,0.170144462279294,0.02368485727093,0.391047542612551
102,RIG,Interneuron,GS,RIGR,18,17,35,60,59,119,1826.0,0.0573096478563806,978.204791412834,0.0307012990839506,2.85,0.0132372959276255,0.136752136752137,0.0271459176266878,0.298005698005698,RIG,Interneuron,GS,15,20,35,62,67,129,1938.0,0.0608248069801017,908.880418354403,0.0285255294191954,inf,0.009739348913836,0.155612244897959,0.0233641850675673,0.400850340136054
103,RIH,Interneuron,GS,RIH,14,33,47,37,107,144,2206.66666666667,0.0692570041637897,1438.36303817035,0.0451435264004252,2.82424242424242,0.0088425775823139,0.0982309124767225,0.0252286159781334,0.292018045579498,RIH,Interneuron,GS,12,26,38,39,102,141,1976.5,0.0620331429288808,823.675179045425,0.0258513332196794,inf,0.0068709388395309,0.112625538020086,0.0180450658042219,0.323590899774544
104,RIM,Interneuron,GS,RIML,24,23,47,124,72,196,3115.5,0.0977810558031511,914.906110736027,0.0287146478794811,3.25235597735598,0.0160286321602653,0.149532710280374,0.0402531667325769,0.390787716955941,RIM,Interneuron,GS,20,25,45,108,83,191,1368.66666666667,0.0429560814345197,1024.07383974172,0.0321409151886798,inf,0.0107066178408436,0.174180327868852,0.0282200958411392,0.440362753708041
105,RIM,Interneuron,GS,RIMR,21,19,40,121,76,197,2553.25,0.0801346431485782,1174.803207517,0.0368716090489297,3.33449883449883,0.0168902417897617,0.133419689119171,0.0442204958651283,0.364757072950078,RIM,Interneuron,GS,18,23,41,119,81,200,2732.0,0.0857447743393384,754.07858049737,0.0236670196628388,inf,0.0125042110410822,0.193588162762022,0.0323735109969388,0.471557747636663
106,RIP,Interneuron,GS,RIPL,10,0,10,58,0,58,0.0,0.0,0.0,0.0,inf,0.027805473708402,0.222222222222222,0.0400368468337061,0.318518518518519,RIP,Interneuron,GS,10,0,10,74,0,74,0.0,0.0,0.0,0.0,inf,0.0158930098823803,0.177777777777778,0.0218507896645754,0.250925925925926
107,RIP,Interneuron,GS,RIPR,12,0,12,65,0,65,0.0,0.0,0.0,0.0,inf,0.0203222647658101,0.189393939393939,0.0330289057474043,0.30239898989899,RIP,Interneuron,GS,14,0,14,72,0,72,0.0,0.0,0.0,0.0,inf,0.0097012410352105,0.137362637362637,0.0134879521260715,0.193223443223443
108,RIR,Interneuron,GS,RIR,13,20,33,34,77,111,1556.33333333333,0.0488460653233737,731.218351024469,0.0229495433753207,2.74924242424242,0.0210486101412005,0.201348747591522,0.0434809338211428,0.461560693641619,RIR,Interneuron,GS,15,20,35,54,79,133,2518.33333333333,0.079038771368192,663.965552005748,0.0208387907854418,inf,0.0122529592313462,0.184931506849315,0.0253365972313037,0.420450097847358
109,IL1,Motor neuron,GS,IL1DL,9,5,14,25,19,44,191.0,0.0059946017199171,121.943760226405,0.0038272475119705,4.0770313020313,0.0246296620639909,0.202247191011236,0.0289462149025076,0.234082397003745,IL1,Motor neuron,GS,6,8,14,25,19,44,334.0,0.0104827066725253,194.70789946648,0.0061109754399121,inf,0.0149893198859321,0.224719101123595,0.0255430522131872,0.427996254681648
110,IL1,Motor neuron,GS,IL1DR,7,4,11,20,9,29,65.5,0.0020557403803904,61.5216458586069,0.0019308783459483,4.27021312021312,0.0220013829740894,0.235849056603774,0.0228540489625725,0.221698113207547,IL1,Motor neuron,GS,8,5,13,32,21,53,269.0,0.0084426589667943,59.8668755992895,0.0018789428033171,inf,0.0166263230673557,0.203947368421053,0.0199668568467155,0.25219298245614
111,IL1,Motor neuron,GS,IL1L,10,11,21,17,30,47,165.5,0.0051942753122842,251.644049425476,0.0078979363952506,3.85620213120213,0.0190800775988295,0.228365384615385,0.0332687975522696,0.43075206043956,IL1,Motor neuron,GS,10,8,18,12,16,28,0.0,0.0,85.1854136192956,0.0026735739633198,inf,0.0095592847898154,0.230263157894737,0.0151313193270972,0.379111842105263
112,IL1,Motor neuron,GS,IL1R,10,13,23,16,30,46,200.5,0.006292762538447,765.556091252714,0.0240272453472071,3.89857729989309,0.0155754661758955,0.192771084337349,0.0272305817799114,0.373125836680054,IL1,Motor neuron,GS,12,12,24,21,24,45,178.0,0.0055865921787709,689.710135274498,0.0216467935244021,inf,0.0093604242730221,0.195970695970696,0.0195757518705692,0.44212308855166
113,IL1,Motor neuron,GS,IL1VL,8,5,13,20,15,35,59.0,0.0018517356098173,45.1306647671203,0.0014164416787119,4.27021312021312,0.0209375497341749,0.24025974025974,0.025290503227199,0.302489177489178,IL1,Motor neuron,GS,7,6,13,22,18,40,166.5,0.0052256606616031,110.436479575082,0.0034660874890177,inf,0.0120788383715712,0.177631578947368,0.0140892930864245,0.221491228070175
114,IL1,Motor neuron,GS,IL1VR,9,4,13,17,13,30,127.0,0.0039859393635051,35.5877723858529,0.0011169346678128,4.18255078255078,0.0224247588658452,0.285714285714286,0.0267065815487124,0.361471861471861,IL1,Motor neuron,GS,9,3,12,22,7,29,9.0,0.0002824681438704,27.5788843751797,0.0008655729199416,inf,0.0130475447239957,0.234848484848485,0.0167358299594713,0.313131313131313
115,RIV,Motor neuron,GS,RIVL,9,7,16,15,24,39,217.0,0.0068106208022095,70.7824717596464,0.0022215326018343,3.6765984015984,0.0148516366515523,0.134453781512605,0.0208719073618824,0.213305322128852,RIV,Motor neuron,GS,7,9,16,10,28,38,39.0,0.0012240286234385,33.5345635287149,0.0010524939906068,inf,0.0254585427321222,0.337606837606838,0.0327855618080649,0.450854700854701
116,RIV,Motor neuron,GS,RIVR,9,11,20,16,23,39,27.0,0.0008474044316113,74.3528728007384,0.0023335908857177,3.71068931068931,0.022655062057725,0.226063829787234,0.0371849478616685,0.419842325227963,RIV,Motor neuron,GS,12,10,22,24,30,54,96.0,0.003012993534618,182.830033846959,0.00573818447828,inf,0.0135062179588981,0.213973799126638,0.0234182579724773,0.414919941775837
117,RMD,Motor neuron,GS,RMDDL,21,6,27,116,14,130,374.0,0.0117381206452828,449.395775614453,0.0141044434001147,4.14521312021312,0.028870810305057,0.235549132947977,0.0516385769373355,0.27393018018018,RMD,Motor neuron,GS,18,4,22,118,16,134,474.0,0.0148766555771766,280.655787755919,0.0088084799371012,inf,0.0181197273907371,0.166666666666667,0.026895470121156,0.286549707602339
